tier	campaign	ordinal	job_id	action	receipt_sha256	input_image_sha256	output_disk_bytes	metric_name	metric_value
t15	b930c0b3d0c074d4347c4bcd718fb154	1	20260901-115951-25472-19428	retain representative	c536645549864d776b2127e750311b5bc309a8ce5bb6cbb9da35cb16e97f9a7c	5ad7a304cfec4fe9320784b26b4d6895885361ddef2675d2411a759cb54165f8	68719476736	desktop_elapsed_ms	25461.0
t15	b930c0b3d0c074d4347c4bcd718fb154	2	20260901-115951-25491-11676	delete output clone	e1e478dfd347e8f4352684e647054e444aeaf110faa11f6997f9aa1786bdf5fd	5ad7a304cfec4fe9320784b26b4d6895885361ddef2675d2411a759cb54165f8	68719476736	desktop_elapsed_ms	27019.0
t15	b930c0b3d0c074d4347c4bcd718fb154	3	20260901-115951-25510-3924	delete output clone	d51a43ccead4b93f61f5193ecacd5eebfc5654106a0f9bed3b7e816776e44daa	5ad7a304cfec4fe9320784b26b4d6895885361ddef2675d2411a759cb54165f8	68719476736	desktop_elapsed_ms	22758.0
t15	b930c0b3d0c074d4347c4bcd718fb154	4	20260901-115951-25529-28940	delete output clone	c6da99e2f261a31f9e5be34cedae39c70c4865761064985ee48766de2400d17b	5ad7a304cfec4fe9320784b26b4d6895885361ddef2675d2411a759cb54165f8	68719476736	desktop_elapsed_ms	28354.0
t15	b930c0b3d0c074d4347c4bcd718fb154	5	20260901-115951-25548-21188	delete output clone	e3ae188e8e31ef4718b585816ff9a304dde5aba28676830c8cfb3f31447d6ce5	5ad7a304cfec4fe9320784b26b4d6895885361ddef2675d2411a759cb54165f8	68719476736	desktop_elapsed_ms	27604.0
t15	b930c0b3d0c074d4347c4bcd718fb154	6	20260901-115951-25567-13435	delete output clone	ce3c5c0f7baf8a67e909eaa6063641c9170111d2984de9b0971cebd3846bffa1	5ad7a304cfec4fe9320784b26b4d6895885361ddef2675d2411a759cb54165f8	68719476736	desktop_elapsed_ms	23449.0
t15	b930c0b3d0c074d4347c4bcd718fb154	7	20260901-115951-25586-5683	delete output clone	182c000004ad34fbf0697bc551753eda58418160254f65b1b24675304a7878d2	5ad7a304cfec4fe9320784b26b4d6895885361ddef2675d2411a759cb54165f8	68719476736	desktop_elapsed_ms	24652.0
t15	b930c0b3d0c074d4347c4bcd718fb154	8	20260901-115951-25605-30699	delete output clone	ebb276de784b119bb3292abeb28707cd34aec64db19ec4d2d9ca37593b95d7bb	5ad7a304cfec4fe9320784b26b4d6895885361ddef2675d2411a759cb54165f8	68719476736	desktop_elapsed_ms	20914.0
t15	b930c0b3d0c074d4347c4bcd718fb154	9	20260901-115951-25624-22947	delete output clone	a66474591fe1819b804a9ddc3c4f598bff20b557c484960d7bc0ad546f1c7f4d	5ad7a304cfec4fe9320784b26b4d6895885361ddef2675d2411a759cb54165f8	68719476736	desktop_elapsed_ms	27041.0
t15	b930c0b3d0c074d4347c4bcd718fb154	10	20260901-115952-25643-32033	delete output clone	68cc18c3f3e0b277e35e43002c7a67051c7341b7db822368dec5327c46a92420	5ad7a304cfec4fe9320784b26b4d6895885361ddef2675d2411a759cb54165f8	68719476736	desktop_elapsed_ms	27074.0
